iso3,month,hdx_alert_level,hdx_value
LKA,2026-01-01,['Medium concern'],1.0
LKA,2026-03-01,['High concern'],107.0
LSO,2017-07-01,['High concern'],0.06
LSO,2018-03-01,['Medium concern'],1.0
LSO,2018-12-01,['Medium concern'],1.0
LSO,2019-06-01,['Medium concern'],0.3
LSO,2019-11-01,['Medium concern'],1.0
LSO,2020-07-01,['High concern'],0.07
LSO,2021-06-01,['Medium concern'],0.26
LSO,2022-06-01,['Medium concern'],0.22
LSO,2023-07-01,['Medium concern'],0.22
MAR,2017-11-01,['Medium concern'],1.0
MAR,2019-05-01,['Medium concern'],1.0
MAR,2020-02-01,['Medium concern'],1.0
MAR,2022-01-01,['Medium concern'],1.0
MAR,2023-02-01,['Medium concern'],1.0
MAR,2023-09-01,['High concern'],146008.0
MAR,2023-11-01,['Medium concern'],4.0
MAR,2024-02-01,['High concern'],2.0
MAR,2025-01-01,['Medium concern'],1.0
MAR,2026-03-01,['High concern'],150000.0
MDG,2012-09-01,['High concern'],112.0
MDG,2014-05-01,['Medium concern'],127.0
MDG,2014-10-01,['High concern'],169.0
MDG,2016-12-01,['Medium concern'],1.0
MDG,2017-10-01,['High concern'],0.13
MDG,2018-01-01,['Medium concern'],1.0
MDG,2018-05-01,['High concern'],0.12
MDG,2018-12-01,['Medium concern'],1.0
MDG,2019-06-01,['High concern'],0.06
MDG,2020-01-01,['Medium concern'],1.0
MDG,2020-11-01,['High concern'],0.07
MDG,2021-01-01,['Medium concern'],4.0
MDG,2021-11-01,['Medium concern'],1.0
MDG,2022-04-01,['High concern'],0.09
MDG,2022-09-01,['Medium concern'],12.0
MDG,2023-01-01,['High concern'],51880.0
MDG,2023-03-01,['Medium concern'],1.0
MDG,2023-07-01,['Medium concern'],0.36
MDG,2024-03-01,['Medium concern'],1.0
MDG,2024-07-01,['Medium concern'],3.0
MDG,2025-03-01,['Medium concern'],52575.0
MEX,2019-02-01,['Medium concern'],998.0
MEX,2020-05-01,['Medium concern'],825.0
MEX,2021-06-01,['Medium concern'],10.0
MEX,2023-11-01,['Medium concern'],3.0
MEX,2024-05-01,['Medium concern'],705.0
MEX,2024-07-01,['High concern'],784.0
MEX,2025-01-01,['High concern'],3.1
MLI,2008-05-01,['High concern'],117.0
MLI,2012-01-01,['High concern'],151.0
MLI,2013-01-01,['High concern'],275.0
MLI,2014-05-01,['Medium concern'],115.0
MLI,2017-01-01,['Medium concern'],100.0
MLI,2017-02-01,['High concern'],115.0
MLI,2018-06-01,['High concern'],254.0
MLI,2019-03-01,['High concern'],308.0
MLI,2020-02-01,['High concern'],313.0
MLI,2021-01-01,['Medium concern'],5442.596685082873
MLI,2021-03-01,['Medium concern'],4.1
MLI,2021-04-01,['Medium concern'],15.0
MLI,2021-11-01,['Medium concern'],14.0
