iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
UKR,2025-10-01,"['Explosions/Remote violence', 'Protests', 'Strategic developments', 'Battles', 'Violence against civilians', 'Riots']","['Air/drone strike', 'Shelling/artillery/missile attack', 'Peaceful protest', 'Disrupted weapons use', 'Armed clash', 'Arrests', 'Looting/property destruction', 'Other', 'Government regains territory', 'Non-state actor overtakes territory', 'Remote explosive/landmine/IED', 'Change to group/activity', 'Attack', 'Grenade', 'Agreement', 'Mob violence']","['Political violence', 'Demonstrations', 'Strategic developments']",6136,4853
URY,2025-10-01,['Protests'],['Peaceful protest'],['Demonstrations'],9,0
USA,2025-10-01,"['Protests', 'Strategic developments', 'Battles', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Arrests', 'Change to group/activity', 'Disrupted weapons use', 'Other', 'Armed clash', 'Violent demonstration', 'Excessive force against protesters', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence', 'Political violence; Demonstrations']",2836,0
UZB,2025-10-01,['Protests'],['Peaceful protest'],['Demonstrations'],10,0
VEN,2025-10-01,"['Battles', 'Strategic developments', 'Protests', 'Violence against civilians', 'Explosions/Remote violence', 'Riots']","['Armed clash', 'Looting/property destruction', 'Peaceful protest', 'Attack', 'Shelling/artillery/missile attack', 'Abduction/forced disappearance', 'Air/drone strike', 'Mob violence', 'Other', 'Arrests', 'Disrupted weapons use', 'Grenade']","['Political violence', 'Strategic developments', 'Demonstrations']",94,41
XKX,2025-10-01,"['Strategic developments', 'Protests']","['Arrests', 'Disrupted weapons use', 'Peaceful protest']","['Strategic developments', 'Demonstrations']",5,0
YEM,2025-10-01,"['Battles', 'Explosions/Remote violence', 'Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Violent demonstration', 'Disrupted weapons use', 'Other', 'Attack', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Change to group/activity', 'Protest with intervention', 'Abduction/forced disappearance', 'Looting/property destruction', 'Arrests', 'Agreement']","['Political violence', 'Demonstrations', 'Strategic developments']",665,88
ZAF,2025-10-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Mob violence', 'Arrests', 'Attack']","['Demonstrations', 'Political violence', 'Strategic developments']",123,6
ZMB,2025-10-01,"['Riots', 'Strategic developments', 'Protests']","['Mob violence', 'Violent demonstration', 'Other', 'Peaceful protest']","['Political violence', 'Demonstrations', 'Strategic developments']",7,4
ZWE,2025-10-01,"['Strategic developments', 'Violence against civilians']","['Looting/property destruction', 'Abduction/forced disappearance', 'Attack']","['Strategic developments', 'Political violence']",4,0
ABW,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
AFG,2025-11-01,"['Battles', 'Protests', 'Violence against civilians', 'Strategic developments', 'Explosions/Remote violence', 'Riots']","['Armed clash', 'Peaceful protest', 'Attack', 'Other', 'Arrests', 'Looting/property destruction', 'Abduction/forced disappearance', 'Disrupted weapons use', 'Sexual violence', 'Remote explosive/landmine/IED', 'Air/drone strike', 'Mob violence']","['Political violence', 'Demonstrations', 'Strategic developments']",111,83
AGO,2025-11-01,"['Riots', 'Strategic developments', 'Violence against civilians', 'Protests']","['Mob violence', 'Other', 'Attack', 'Peaceful protest']","['Political violence', 'Strategic developments', 'Demonstrations']",9,5
ALB,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Arrests']","['Demonstrations', 'Strategic developments']",9,0
ARE,2025-11-01,['Violence against civilians'],['Abduction/forced disappearance'],['Political violence'],1,0
ARG,2025-11-01,"['Protests', 'Riots']","['Peaceful protest', 'Mob violence', 'Violent demonstration', 'Protest with intervention']","['Demonstrations', 'Political violence']",123,0
ARM,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Disrupted weapons use']","['Demonstrations', 'Strategic developments']",17,0
ATG,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],4,0
AUS,2025-11-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],52,0
AUT,2025-11-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Violent demonstration', 'Attack']","['Demonstrations', 'Political violence']",27,1
AZE,2025-11-01,"['Explosions/Remote violence', 'Strategic developments']","['Remote explosive/landmine/IED', 'Looting/property destruction']","['Political violence', 'Strategic developments']",6,0
BDI,2025-11-01,"['Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Strategic developments', 'Riots']","['Abduction/forced disappearance', 'Attack', 'Armed clash', 'Grenade', 'Shelling/artillery/missile attack', 'Other', 'Sexual violence', 'Mob violence']","['Political violence', 'Strategic developments']",24,4
BEL,2025-11-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Mob violence', 'Looting/property destruction', 'Other', 'Violent demonstration']","['Demonstrations', 'Political violence', 'Strategic developments']",180,0
BEN,2025-11-01,"['Strategic developments', 'Violence against civilians']","['Other', 'Abduction/forced disappearance', 'Attack']","['Strategic developments', 'Political violence']",5,2
BFA,2025-11-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests']","['Armed clash', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Looting/property destruction', 'Attack', 'Peaceful protest', 'Arrests', 'Change to group/activity', 'Other', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments', 'Demonstrations']",198,331
BGD,2025-11-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Arrests', 'Abduction/forced disappearance', 'Attack', 'Disrupted weapons use', 'Looting/property destruction', 'Other']","['Demonstrations', 'Political violence', 'Strategic developments']",492,30
BGR,2025-11-01,"['Protests', 'Strategic developments', 'Riots']","['Peaceful protest', 'Disrupted weapons use', 'Violent demonstration']","['Demonstrations', 'Strategic developments']",162,0
BHR,2025-11-01,"['Protests', 'Riots', 'Violence against civilians', 'Strategic developments']","['Peaceful protest', 'Violent demonstration', 'Attack', 'Other']","['Demonstrations', 'Political violence', 'Strategic developments']",49,0
BHS,2025-11-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],2,0
BIH,2025-11-01,"['Violence against civilians', 'Explosions/Remote violence', 'Protests', 'Strategic developments']","['Attack', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Protest with intervention', 'Disrupted weapons use', 'Looting/property destruction', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Strategic developments']",29,0
BLR,2025-11-01,['Strategic developments'],"['Disrupted weapons use', 'Other']",['Strategic developments'],6,0
BLZ,2025-11-01,"['Battles', 'Protests', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Arrests', 'Attack']","['Political violence', 'Demonstrations', 'Strategic developments']",8,3
BMU,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
BOL,2025-11-01,"['Riots', 'Strategic developments', 'Protests', 'Violence against civilians']","['Mob violence', 'Arrests', 'Peaceful protest', 'Violent demonstration', 'Attack']","['Political violence', 'Strategic developments', 'Demonstrations']",57,5
BRA,2025-11-01,"['Battles', 'Protests', 'Violence against civilians', 'Riots', 'Strategic developments', 'Explosions/Remote violence']","['Armed clash', 'Peaceful protest', 'Attack', 'Mob violence', 'Looting/property destruction', 'Other', 'Protest with intervention', 'Excessive force against protesters', 'Violent demonstration', 'Abduction/forced disappearance', 'Arrests', 'Disrupted weapons use', 'Remote explosive/landmine/IED', 'Sexual violence', 'Air/drone strike', 'Grenade']","['Political violence', 'Demonstrations', 'Strategic developments', 'Political violence; Demonstrations']",1221,792
BTN,2025-11-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
CAF,2025-11-01,"['Battles', 'Protests', 'Strategic developments', 'Violence against civilians', 'Riots']","['Armed clash', 'Peaceful protest', 'Change to group/activity', 'Looting/property destruction', 'Other', 'Attack', 'Mob violence', 'Headquarters or base established', 'Abduction/forced disappearance', 'Agreement', 'Disrupted weapons use']","['Political violence', 'Demonstrations', 'Strategic developments']",78,68
CAN,2025-11-01,"['Protests', 'Strategic developments', 'Riots']","['Peaceful protest', 'Other', 'Protest with intervention', 'Violent demonstration', 'Looting/property destruction']","['Demonstrations', 'Strategic developments']",118,0
CHE,2025-11-01,"['Riots', 'Protests']","['Violent demonstration', 'Peaceful protest', 'Protest with intervention']",['Demonstrations'],29,0
CHL,2025-11-01,"['Protests', 'Battles', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Armed clash', 'Violent demonstration', 'Change to group/activity', 'Looting/property destruction', 'Mob violence', 'Protest with intervention', 'Disrupted weapons use', 'Attack']","['Demonstrations', 'Political violence', 'Strategic developments']",134,0
CHN,2025-11-01,"['Protests', 'Violence against civilians', 'Riots', 'Strategic developments']","['Peaceful protest', 'Abduction/forced disappearance', 'Protest with intervention', 'Violent demonstration', 'Other', 'Attack', 'Change to group/activity', 'Excessive force against protesters', 'Arrests']","['Demonstrations', 'Political violence', 'Strategic developments', 'Political violence; Demonstrations']",155,0
CIV,2025-11-01,"['Protests', 'Strategic developments', 'Riots', 'Battles']","['Peaceful protest', 'Arrests', 'Other', 'Mob violence', 'Violent demonstration', 'Armed clash']","['Demonstrations', 'Strategic developments', 'Political violence']",15,2
CMR,2025-11-01,"['Protests', 'Riots', 'Violence against civilians', 'Strategic developments', 'Battles', 'Explosions/Remote violence']","['Protest with intervention', 'Mob violence', 'Abduction/forced disappearance', 'Attack', 'Peaceful protest', 'Other', 'Armed clash', 'Remote explosive/landmine/IED', 'Disrupted weapons use', 'Looting/property destruction', 'Violent demonstration', 'Arrests', 'Change to group/activity', 'Sexual violence']","['Demonstrations', 'Political violence', 'Strategic developments']",605,213
COD,2025-11-01,"['Violence against civilians', 'Explosions/Remote violence', 'Protests', 'Riots', 'Battles', 'Strategic developments']","['Attack', 'Air/drone strike', 'Excessive force against protesters', 'Mob violence', 'Violent demonstration', 'Armed clash', 'Arrests', 'Change to group/activity', 'Disrupted weapons use', 'Looting/property destruction', 'Other', 'Abduction/forced disappearance', 'Sexual violence', 'Peaceful protest', 'Agreement', 'Government regains territory', 'Non-state actor overtakes territory', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Non-violent transfer of territory']","['Political violence', 'Political violence; Demonstrations', 'Demonstrations', 'Strategic developments']",472,773
COL,2025-11-01,"['Battles', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence', 'Protests', 'Riots']","['Armed clash', 'Looting/property destruction', 'Attack', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Mob violence', 'Arrests', 'Change to group/activity', 'Disrupted weapons use', 'Other', 'Shelling/artillery/missile attack', 'Abduction/forced disappearance', 'Protest with intervention', 'Violent demonstration', 'Grenade']","['Political violence', 'Strategic developments', 'Demonstrations']",489,191
COM,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Arrests']","['Demonstrations', 'Strategic developments']",3,0
CPV,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],3,0
CRI,2025-11-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Arrests']","['Demonstrations', 'Strategic developments']",15,0
CUB,2025-11-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Violent demonstration', 'Arrests', 'Attack']","['Demonstrations', 'Strategic developments', 'Political violence']",17,0
CYP,2025-11-01,"['Strategic developments', 'Protests', 'Violence against civilians']","['Other', 'Disrupted weapons use', 'Peaceful protest', 'Attack', 'Protest with intervention', 'Arrests', 'Change to group/activity', 'Looting/property destruction']","['Strategic developments', 'Demonstrations', 'Political violence']",28,0
CZE,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],16,0
DEU,2025-11-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Looting/property destruction', 'Other', 'Arrests']","['Demonstrations', 'Political violence', 'Strategic developments']",272,0
DNK,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Looting/property destruction']","['Demonstrations', 'Strategic developments']",27,0
DOM,2025-11-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Violent demonstration', 'Looting/property destruction', 'Mob violence', 'Attack']","['Demonstrations', 'Strategic developments', 'Political violence']",17,1
DZA,2025-11-01,"['Strategic developments', 'Protests', 'Violence against civilians']","['Agreement', 'Other', 'Peaceful protest', 'Attack']","['Strategic developments', 'Demonstrations', 'Political violence']",11,2
ECU,2025-11-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Air/drone strike', 'Disrupted weapons use', 'Attack', 'Peaceful protest', 'Looting/property destruction', 'Other', 'Abduction/forced disappearance', 'Mob violence', 'Grenade', 'Remote explosive/landmine/IED', 'Arrests', 'Sexual violence']","['Political violence', 'Strategic developments', 'Demonstrations']",401,443
EGY,2025-11-01,"['Strategic developments', 'Protests', 'Riots']","['Other', 'Peaceful protest', 'Mob violence', 'Arrests', 'Violent demonstration', 'Protest with intervention', 'Change to group/activity']","['Strategic developments', 'Demonstrations', 'Political violence']",41,0
ERI,2025-11-01,"['Strategic developments', 'Protests', 'Violence against civilians']","['Other', 'Protest with intervention', 'Attack']","['Strategic developments', 'Demonstrations', 'Political violence']",4,1
ESP,2025-11-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Mob violence', 'Arrests', 'Protest with intervention', 'Violent demonstration', 'Looting/property destruction']","['Demonstrations', 'Political violence', 'Strategic developments']",433,0
EST,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Disrupted weapons use']","['Demonstrations', 'Strategic developments']",5,0
ETH,2025-11-01,"['Protests', 'Strategic developments', 'Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Agreement', 'Other', 'Non-state actor overtakes territory', 'Air/drone strike', 'Armed clash', 'Government regains territory', 'Excessive force against protesters', 'Change to group/activity', 'Disrupted weapons use', 'Looting/property destruction', 'Non-violent transfer of territory', 'Abduction/forced disappearance', 'Attack', 'Sexual violence', 'Arrests', 'Grenade', 'Protest with intervention', 'Remote explosive/landmine/IED', 'Violent demonstration']","['Demonstrations', 'Strategic developments', 'Political violence', 'Political violence; Demonstrations']",298,754
FIN,2025-11-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],22,0
FJI,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
FRA,2025-11-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Mob violence', 'Looting/property destruction', 'Other', 'Violent demonstration', 'Arrests', 'Attack']","['Demonstrations', 'Political violence', 'Strategic developments']",544,1
GAB,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
GBR,2025-11-01,"['Protests', 'Riots', 'Strategic developments']","['Excessive force against protesters', 'Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Looting/property destruction', 'Other']","['Political violence; Demonstrations', 'Demonstrations', 'Strategic developments']",120,0
GEO,2025-11-01,"['Protests', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Arrests', 'Attack']","['Demonstrations', 'Strategic developments', 'Political violence']",53,0
GHA,2025-11-01,"['Riots', 'Explosions/Remote violence', 'Protests', 'Strategic developments', 'Violence against civilians', 'Battles']","['Mob violence', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Violent demonstration', 'Change to group/activity', 'Attack', 'Abduction/forced disappearance', 'Armed clash']","['Political violence', 'Demonstrations', 'Strategic developments']",46,10
GIB,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
GIN,2025-11-01,"['Protests', 'Riots', 'Violence against civilians', 'Strategic developments']","['Peaceful protest', 'Violent demonstration', 'Abduction/forced disappearance', 'Protest with intervention', 'Attack', 'Other']","['Demonstrations', 'Political violence', 'Strategic developments']",26,3
GLP,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
GNB,2025-11-01,"['Strategic developments', 'Violence against civilians']","['Other', 'Abduction/forced disappearance']","['Strategic developments', 'Political violence']",3,0
GRC,2025-11-01,"['Protests', 'Strategic developments', 'Explosions/Remote violence', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Disrupted weapons use', 'Other', 'Remote explosive/landmine/IED', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Agreement', 'Change to group/activity', 'Attack', 'Looting/property destruction']","['Demonstrations', 'Strategic developments', 'Political violence']",160,5
GTM,2025-11-01,"['Protests', 'Violence against civilians', 'Strategic developments', 'Riots', 'Battles', 'Explosions/Remote violence']","['Peaceful protest', 'Abduction/forced disappearance', 'Looting/property destruction', 'Mob violence', 'Attack', 'Armed clash', 'Grenade', 'Arrests', 'Change to group/activity']","['Demonstrations', 'Political violence', 'Strategic developments']",74,42
GUF,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],7,0
GUY,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
HND,2025-11-01,"['Violence against civilians', 'Battles', 'Strategic developments', 'Protests', 'Riots']","['Attack', 'Armed clash', 'Looting/property destruction', 'Peaceful protest', 'Violent demonstration', 'Arrests']","['Political violence', 'Strategic developments', 'Demonstrations']",78,57
HRV,2025-11-01,"['Protests', 'Violence against civilians', 'Riots', 'Explosions/Remote violence', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Attack', 'Mob violence', 'Remote explosive/landmine/IED', 'Violent demonstration', 'Looting/property destruction']","['Demonstrations', 'Political violence', 'Strategic developments']",29,0
HTI,2025-11-01,"['Battles', 'Protests', 'Riots', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Arrests', 'Disrupted weapons use', 'Other', 'Attack', 'Excessive force against protesters', 'Peaceful protest', 'Agreement', 'Looting/property destruction', 'Change to group/activity', 'Air/drone strike', 'Abduction/forced disappearance', 'Sexual violence']","['Political violence', 'Demonstrations', 'Strategic developments', 'Political violence; Demonstrations']",242,322
HUN,2025-11-01,"['Protests', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Disrupted weapons use', 'Attack']","['Demonstrations', 'Strategic developments', 'Political violence']",24,0
IDN,2025-11-01,"['Protests', 'Riots', 'Battles', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence']","['Peaceful protest', 'Mob violence', 'Violent demonstration', 'Armed clash', 'Excessive force against protesters', 'Other', 'Attack', 'Disrupted weapons use', 'Air/drone strike', 'Looting/property destruction', 'Protest with intervention']","['Demonstrations', 'Political violence', 'Political violence; Demonstrations', 'Strategic developments']",409,18
IND,2025-11-01,"['Protests', 'Battles', 'Riots', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence']","['Peaceful protest', 'Armed clash', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Arrests', 'Looting/property destruction', 'Attack', 'Agreement', 'Other', 'Remote explosive/landmine/IED', 'Disrupted weapons use', 'Suicide bomb', 'Grenade', 'Abduction/forced disappearance', 'Sexual violence']","['Demonstrations', 'Political violence', 'Strategic developments']",2439,109
IRL,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Looting/property destruction', 'Other']","['Demonstrations', 'Strategic developments']",22,0
IRN,2025-11-01,"['Protests', 'Violence against civilians', 'Battles', 'Strategic developments', 'Explosions/Remote violence']","['Peaceful protest', 'Attack', 'Armed clash', 'Protest with intervention', 'Disrupted weapons use', 'Other', 'Remote explosive/landmine/IED', 'Arrests', 'Change to group/activity', 'Looting/property destruction']","['Demonstrations', 'Political violence', 'Strategic developments']",369,22
IRQ,2025-11-01,"['Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Battles', 'Protests', 'Riots']","['Remote explosive/landmine/IED', 'Arrests', 'Change to group/activity', 'Disrupted weapons use', 'Looting/property destruction', 'Other', 'Attack', 'Armed clash', 'Grenade', 'Peaceful protest', 'Air/drone strike', 'Violent demonstration', 'Shelling/artillery/missile attack', 'Protest with intervention', 'Excessive force against protesters', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments', 'Demonstrations', 'Political violence; Demonstrations']",302,37
ISL,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
ISR,2025-11-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Disrupted weapons use', 'Other', 'Mob violence', 'Arrests', 'Attack', 'Looting/property destruction']","['Demonstrations', 'Strategic developments', 'Political violence']",134,0
ITA,2025-11-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Looting/property destruction', 'Attack', 'Violent demonstration', 'Protest with intervention', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence']",322,0
JAM,2025-11-01,"['Strategic developments', 'Battles', 'Violence against civilians', 'Riots', 'Protests']","['Change to group/activity', 'Armed clash', 'Attack', 'Mob violence', 'Violent demonstration', 'Arrests', 'Peaceful protest']","['Strategic developments', 'Political violence', 'Demonstrations']",36,28
JEY,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
JOR,2025-11-01,"['Protests', 'Battles']","['Peaceful protest', 'Armed clash']","['Demonstrations', 'Political violence']",4,2
JPN,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],146,0
KAZ,2025-11-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Other', 'Attack', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence']",47,1
KEN,2025-11-01,"['Protests', 'Strategic developments', 'Riots', 'Violence against civilians', 'Battles', 'Explosions/Remote violence']","['Peaceful protest', 'Disrupted weapons use', 'Mob violence', 'Violent demonstration', 'Arrests', 'Attack', 'Protest with intervention', 'Change to group/activity', 'Armed clash', 'Remote explosive/landmine/IED', 'Looting/property destruction', 'Other', 'Agreement', 'Excessive force against protesters', 'Shelling/artillery/missile attack']","['Demonstrations', 'Strategic developments', 'Political violence', 'Political violence; Demonstrations']",318,71
KGZ,2025-11-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Arrests', 'Other', 'Attack', 'Sexual violence', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence']",15,1
KHM,2025-11-01,"['Strategic developments', 'Protests']","['Other', 'Peaceful protest']","['Strategic developments', 'Demonstrations']",3,0
KOR,2025-11-01,"['Protests', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration']",['Demonstrations'],627,0
LBN,2025-11-01,"['Strategic developments', 'Battles', 'Explosions/Remote violence', 'Protests', 'Riots', 'Violence against civilians']","['Disrupted weapons use', 'Armed clash', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Peaceful protest', 'Change to group/activity', 'Looting/property destruction', 'Other', 'Arrests', 'Violent demonstration', 'Attack']","['Strategic developments', 'Political violence', 'Demonstrations']",326,43
LBR,2025-11-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Mob violence', 'Violent demonstration', 'Attack']","['Demonstrations', 'Political violence']",9,6
LBY,2025-11-01,"['Violence against civilians', 'Protests', 'Strategic developments', 'Battles', 'Explosions/Remote violence', 'Riots']","['Attack', 'Peaceful protest', 'Arrests', 'Change to group/activity', 'Other', 'Armed clash', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Violent demonstration', 'Disrupted weapons use', 'Looting/property destruction', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Strategic developments']",87,18
LCA,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Other']","['Demonstrations', 'Strategic developments']",2,0
LKA,2025-11-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Mob violence', 'Disrupted weapons use', 'Arrests', 'Other', 'Attack']","['Demonstrations', 'Political violence', 'Strategic developments']",64,0
LSO,2025-11-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
LTU,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Arrests', 'Other']","['Demonstrations', 'Strategic developments']",12,0
LUX,2025-11-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],5,0
LVA,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Arrests']","['Demonstrations', 'Strategic developments']",7,0
MAR,2025-11-01,"['Protests', 'Riots', 'Violence against civilians', 'Strategic developments', 'Explosions/Remote violence']","['Peaceful protest', 'Protest with intervention', 'Mob violence', 'Attack', 'Other', 'Air/drone strike', 'Arrests']","['Demonstrations', 'Political violence', 'Strategic developments']",145,10
MDA,2025-11-01,"['Strategic developments', 'Protests']","['Disrupted weapons use', 'Peaceful protest', 'Arrests', 'Other']","['Strategic developments', 'Demonstrations']",28,0
MDG,2025-11-01,"['Protests', 'Riots', 'Strategic developments', 'Violence against civilians', 'Battles']","['Peaceful protest', 'Mob violence', 'Violent demonstration', 'Arrests', 'Other', 'Abduction/forced disappearance', 'Attack', 'Armed clash', 'Looting/property destruction', 'Sexual violence', 'Change to group/activity']","['Demonstrations', 'Political violence', 'Strategic developments']",112,50
MDV,2025-11-01,"['Strategic developments', 'Protests']","['Looting/property destruction', 'Peaceful protest', 'Other']","['Strategic developments', 'Demonstrations']",5,0
MEX,2025-11-01,"['Protests', 'Riots', 'Battles', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence']","['Peaceful protest', 'Mob violence', 'Armed clash', 'Looting/property destruction', 'Abduction/forced disappearance', 'Attack', 'Violent demonstration', 'Sexual violence', 'Change to group/activity', 'Protest with intervention', 'Arrests', 'Disrupted weapons use', 'Other', 'Remote explosive/landmine/IED', 'Air/drone strike', 'Grenade']","['Demonstrations', 'Political violence', 'Strategic developments']",1755,708
MKD,2025-11-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Other']","['Demonstrations', 'Strategic developments']",9,1
MLI,2025-11-01,"['Riots', 'Strategic developments', 'Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Protests']","['Mob violence', 'Change to group/activity', 'Armed clash', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Arrests', 'Looting/property destruction', 'Non-violent transfer of territory', 'Attack', 'Other', 'Abduction/forced disappearance', 'Shelling/artillery/missile attack', 'Sexual violence', 'Disrupted weapons use', 'Peaceful protest']","['Political violence', 'Strategic developments', 'Demonstrations']",264,329
MLT,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],3,0
MMR,2025-11-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Air/drone strike', 'Arrests', 'Change to group/activity', 'Looting/property destruction', 'Other', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Abduction/forced disappearance', 'Attack', 'Government regains territory', 'Non-state actor overtakes territory', 'Non-violent transfer of territory', 'Sexual violence', 'Peaceful protest', 'Mob violence', 'Disrupted weapons use', 'Grenade', 'Protest with intervention']","['Political violence', 'Strategic developments', 'Demonstrations']",1311,1367
MNE,2025-11-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Mob violence', 'Attack']","['Demonstrations', 'Political violence']",18,0
MNG,2025-11-01,['Protests'],['Peaceful protest'],['Demonstrations'],3,0
