iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
MOZ,2006-03-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],2,0
MWI,2006-03-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
NAM,2006-03-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
NGA,2006-03-01,"['Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Riots']","['Abduction/forced disappearance', 'Armed clash', 'Remote explosive/landmine/IED', 'Mob violence', 'Attack']",['Political violence'],10,7
SDN,2006-03-01,"['Battles', 'Riots', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Mob violence', 'Attack', 'Grenade', 'Abduction/forced disappearance']",['Political violence'],12,61
SEN,2006-03-01,"['Protests', 'Battles']","['Peaceful protest', 'Armed clash']","['Demonstrations', 'Political violence']",4,0
SOM,2006-03-01,"['Violence against civilians', 'Battles', 'Protests']","['Attack', 'Armed clash', 'Peaceful protest', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations']",36,107
SWZ,2006-03-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
TCD,2006-03-01,"['Battles', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Government regains territory', 'Abduction/forced disappearance', 'Attack', 'Looting/property destruction']","['Political violence', 'Strategic developments']",10,337
TZA,2006-03-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,2
UGA,2006-03-01,"['Battles', 'Violence against civilians', 'Riots']","['Armed clash', 'Attack', 'Violent demonstration', 'Government regains territory']","['Political violence', 'Demonstrations']",19,94
ZMB,2006-03-01,"['Protests', 'Riots']","['Peaceful protest', 'Violent demonstration']",['Demonstrations'],6,0
ZWE,2006-03-01,"['Violence against civilians', 'Protests']","['Attack', 'Protest with intervention']","['Political violence', 'Demonstrations']",8,0
BDI,2006-04-01,"['Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Strategic developments', 'Riots']","['Abduction/forced disappearance', 'Armed clash', 'Grenade', 'Attack', 'Change to group/activity', 'Mob violence']","['Political violence', 'Strategic developments']",13,10
CAF,2006-04-01,"['Protests', 'Violence against civilians', 'Strategic developments']","['Excessive force against protesters', 'Peaceful protest', 'Attack', 'Change to group/activity']","['Political violence; Demonstrations', 'Demonstrations', 'Political violence', 'Strategic developments']",6,4
CIV,2006-04-01,['Violence against civilians'],['Attack'],['Political violence'],1,5
CMR,2006-04-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
COD,2006-04-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Change to group/activity', 'Government regains territory', 'Attack', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments']",11,59
DZA,2006-04-01,"['Battles', 'Protests', 'Riots', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Peaceful protest', 'Violent demonstration', 'Attack', 'Remote explosive/landmine/IED']","['Political violence', 'Demonstrations']",18,57
EGY,2006-04-01,"['Riots', 'Explosions/Remote violence']","['Mob violence', 'Remote explosive/landmine/IED']",['Political violence'],2,24
ETH,2006-04-01,"['Explosions/Remote violence', 'Battles', 'Violence against civilians']","['Remote explosive/landmine/IED', 'Armed clash', 'Abduction/forced disappearance']",['Political violence'],10,42
GNB,2006-04-01,"['Battles', 'Explosions/Remote violence']","['Armed clash', 'Shelling/artillery/missile attack']",['Political violence'],4,0
KEN,2006-04-01,"['Violence against civilians', 'Battles', 'Protests']","['Attack', 'Armed clash', 'Peaceful protest']","['Political violence', 'Demonstrations']",11,10
LBR,2006-04-01,"['Riots', 'Violence against civilians']","['Violent demonstration', 'Attack']","['Demonstrations', 'Political violence']",2,0
MAR,2006-04-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
MOZ,2006-04-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
MWI,2006-04-01,['Riots'],['Violent demonstration'],['Demonstrations'],2,0
NGA,2006-04-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack', 'Abduction/forced disappearance']",['Political violence'],6,1
SDN,2006-04-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack', 'Non-state actor overtakes territory', 'Government regains territory']",['Political violence'],13,70
SEN,2006-04-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],5,0
SLE,2006-04-01,['Battles'],['Armed clash'],['Political violence'],1,0
SOM,2006-04-01,"['Battles', 'Explosions/Remote violence', 'Protests', 'Violence against civilians', 'Strategic developments', 'Riots']","['Armed clash', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Attack', 'Non-violent transfer of territory', 'Other', 'Mob violence']","['Political violence', 'Demonstrations', 'Strategic developments']",34,31
TCD,2006-04-01,"['Violence against civilians', 'Battles', 'Explosions/Remote violence']","['Attack', 'Government regains territory', 'Non-state actor overtakes territory', 'Armed clash', 'Shelling/artillery/missile attack']",['Political violence'],28,523
TZA,2006-04-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
UGA,2006-04-01,"['Battles', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Abduction/forced disappearance', 'Attack', 'Change to group/activity']","['Political violence', 'Strategic developments']",29,100
ZAF,2006-04-01,"['Battles', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Attack', 'Protest with intervention', 'Peaceful protest', 'Violent demonstration']","['Political violence', 'Demonstrations']",7,8
ZWE,2006-04-01,['Violence against civilians'],['Attack'],['Political violence'],8,0
BDI,2006-05-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Shelling/artillery/missile attack', 'Attack']",['Political violence'],10,13
BFA,2006-05-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
CAF,2006-05-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],3,4
CMR,2006-05-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
COD,2006-05-01,"['Strategic developments', 'Battles', 'Violence against civilians']","['Change to group/activity', 'Armed clash', 'Government regains territory', 'Sexual violence', 'Attack']","['Strategic developments', 'Political violence']",18,0
DJI,2006-05-01,['Violence against civilians'],['Attack'],['Political violence'],2,0
DZA,2006-05-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack']",['Political violence'],21,60
EGY,2006-05-01,['Protests'],['Protest with intervention'],['Demonstrations'],2,0
ERI,2006-05-01,['Strategic developments'],['Arrests'],['Strategic developments'],1,0
ETH,2006-05-01,"['Violence against civilians', 'Battles', 'Riots']","['Attack', 'Armed clash', 'Mob violence', 'Violent demonstration']","['Political violence', 'Demonstrations']",5,151
GMB,2006-05-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
KEN,2006-05-01,"['Battles', 'Violence against civilians', 'Riots']","['Armed clash', 'Attack', 'Violent demonstration']","['Political violence', 'Demonstrations']",10,24
LBR,2006-05-01,"['Violence against civilians', 'Battles']","['Sexual violence', 'Armed clash']",['Political violence'],8,0
LSO,2006-05-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
MAR,2006-05-01,['Protests'],['Peaceful protest'],['Demonstrations'],2,0
MLI,2006-05-01,"['Battles', 'Strategic developments']","['Armed clash', 'Non-state actor overtakes territory', 'Non-violent transfer of territory']","['Political violence', 'Strategic developments']",6,0
NER,2006-05-01,['Riots'],['Violent demonstration'],['Demonstrations'],2,0
NGA,2006-05-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],6,1
SDN,2006-05-01,"['Violence against civilians', 'Battles', 'Riots']","['Attack', 'Armed clash', 'Violent demonstration', 'Mob violence']","['Political violence', 'Demonstrations']",10,128
SEN,2006-05-01,"['Protests', 'Battles']","['Peaceful protest', 'Armed clash']","['Demonstrations', 'Political violence']",2,0
